Chillwind Yeti|Chillwind Yeti|Darkscale Healer|Darkscale Healer|Drain Life|Drain Life|Hellfire|Hellfire|Kobold Geomancer|Kobold Geomancer|Murlock Raider|Murloc Raider|Ogre Magi|Ogre Magi|Reckless Rocketeer|Reckless Rocketeer|River Crocolisk|River Crocolisk|Shadow Bolt|Shadow Bolt|Succubus|Succubus|Voidwalker|Voidwalker|Voodoo Doctor|Voodoo Doctor|War Golem|War Golem|Wolfrider|Wolfrider|
Mortal Coil|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Doomsayer|Doomsayer|Earthen Ring Farseer|Earthen Ring Farseer|Twilight Drake|Twilight Drake|Skulking Geist|Medivh, the Guardian|The Lich King|Alexstrasza|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Southsea Captain|Southsea Captain|Tar Creeper|Tar Creeper|Defender of Argus|Defender of Argus|Bonemare|Bonemare|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Vicious Fledgling|Vicious Fledgling|Saronite Chain Gang|Saronite Chain Gang|Spellbreaker|Bonemare|Bonemare|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Southsea Captain|Southsea Captain|Tar Creeper|Tar Creeper|Dark Iron Dwarf|Dark Iron Dwarf|Saronite Chain Gang|
Blood Imp|Blood Imp|Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Crystalweaver|Crystalweaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Bloodsail Corsair|Bloodsail Corsair|Patches the Pirate|Prince Keleseth|Southsea Captain|Southsea Captain|Vicious Fledgling|Vicious Fledgling|Spellbreaker|Bonemare|Bonemare|
Darkbomb|Darkbomb|Defile|Defile|Imp Gang Boss|Summoning Portal|Summoning Portal|Siphon Soul|Siphon Soul|Bloodmage Thalnos|Doomsayer|Doomsayer|Knife Juggler|Knife Juggler|Novice Engineer|Novice Engineer|Tuskarr Fisherman|Tuskarr Fisherman|Coldlight Oracle|Deathspeaker|Deathspeaker|Stonehill Defender|Stonehill Defender|Saronite Chain Gang|Antique Healbot|Antique Healbot|Grim Patron|Emperor Thaurissan|Necrotic Geist|Mountain Giant|
Flame Imp|Flame Imp|Mortal Coil|Possessed Villager|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Felguard|Ravenous Pterrordax|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Argent Squire|Argent Squire|Fire Fly|Fire Fly|Prince Keleseth|Vicious Fledgling|Defender of Argus|Saronite Chain Gang|Saronite Chain Gang|Cobalt Scalebane|Cobalt Scalebane|Bonemare|Bonemare|
Flame Imp|Flame Imp|Possessed Villager|Possessed Villager|Sanguine Reveler|Sanguine Reveler|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Ravenous Pterrordax|Ravenous Pterrordax|Bloodsail Corsair|Bloodsail Corsair|Patches the Pirate|Prince Keleseth|Devilsaur Egg|Devilsaur Egg|Tar Creeper|Tar Creeper|Vicious Fledgling|Vicious Fledgling|Defender of Argus|Defender of Argus|Cobalt Scalebane|Cobalt Scalebane|Leeroy Jenkins|Bonemare|Bonemare|The Lich King|
Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Shadow Bolt|Shadow Bolt|Blastcrystal Potion|Hellfire|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Dread Infernal|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Lord Jaraxxus|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Tainted Zealot|Earthen Ring Farseer|Eater of Secrets|Twilight Drake|Twilight Drake|Bonemare|Mountain Giant|
Mortal Coil|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Doomsayer|Doomsayer|Earthen Ring Farseer|Earthen Ring Farseer|Twilight Drake|Twilight Drake|Skulking Geist|Medivh, the Guardian|The Lich King|Alexstrasza|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Crystalweaver|Hellfire|Lakkari Felhound|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Bloodsail Corsair|Patches the Pirate|Southsea Deckhand|Prince Keleseth|Southsea Captain|Southsea Captain|Saronite Chain Gang|Saronite Chain Gang|Spellbreaker|Cobalt Scalebane|Cobalt Scalebane|Leeroy Jenkins|Bonemare|Bonemare|
Defile|Defile|Shadow Bolt|Hellfire|Hellfire|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Doomsayer|Doomsayer|Faerie Dragon|Faerie Dragon|Netherspite Historian|Netherspite Historian|Earthen Ring Farseer|Earthen Ring Farseer|Tar Creeper|Tar Creeper|Faceless Shambler|Faceless Shambler|Twilight Drake|Twilight Drake|Cobalt Scalebane|Cobalt Scalebane|Bone Drake|The Curator|Primordial Drake|Alexstrasza|Mountain Giant|Mountain Giant|
Flame Imp|Flame Imp|Possessed Villager|Possessed Villager|Power Overwhelming|Power Overwhelming|Voidwalker|Voidwalker|Darkshire Councilman|Imp Gang Boss|Imp Gang Boss|Imp-losion|Imp-losion|Ravenous Pterrordax|Ravenous Pterrordax|Voidcaller|Voidcaller|Doomguard|Dire Wolf Alpha|Dire Wolf Alpha|Haunted Creeper|Haunted Creeper|Knife Juggler|Knife Juggler|Nerubian Egg|Nerubian Egg|Defender of Argus|Defender of Argus|Leeroy Jenkins|Sea Giant|
Corruption|Mortal Coil|Voidwalker|Defile|Drain Soul|Shadow Bolt|Blastcrystal Potion|Hellfire|Despicable Dreadlord|Kabal Trafficker|Siphon Soul|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Doomsayer|Golakka Crawler|Tainted Zealot|Earthen Ring Farseer|Gluttonous Ooze|Mind Control Tech|Faceless Shambler|Kazakus|Spellbreaker|Twilight Drake|Cult Apothecary|Elise the Trailblazer|Second-Rate Bruiser|Alexstrasza|Mountain Giant|
